Date,Open,High,Low,Close,Adj Close,Volume
2022-05-28,0.386587,0.388115,0.381716,0.386323,0.386323,865258883
2022-05-29,0.386331,0.389496,0.380762,0.389016,0.389016,752879867
2022-05-30,0.389019,0.418702,0.387636,0.418175,0.418175,1404448305
2022-05-31,0.418126,0.429676,0.408899,0.421867,0.421867,1738462198
2022-06-01,0.421889,0.425118,0.392617,0.398085,0.398085,1569696040
2022-06-02,0.398079,0.406664,0.392553,0.405302,0.405302,1298797541
2022-06-03,0.405315,0.409440,0.385500,0.390766,0.390766,1284592602
2022-06-04,0.390781,0.393463,0.386286,0.392309,0.392309,696569397
2022-06-05,0.392324,0.399337,0.390267,0.395380,0.395380,726398938
2022-06-06,0.395402,0.408486,0.394876,0.403011,0.403011,1221803580
2022-06-07,0.403009,0.416477,0.385782,0.407702,0.407702,1666703798
2022-06-08,0.407691,0.409893,0.396148,0.400648,0.400648,1183206226
2022-06-09,0.400658,0.403607,0.397620,0.400324,0.400324,911815336
2022-06-10,0.400316,0.409916,0.380881,0.381736,0.381736,1424539679
2022-06-11,0.381764,0.388056,0.358626,0.359025,0.359025,1111401064
2022-06-12,0.359091,0.364695,0.341609,0.345490,0.345490,1370072145
2022-06-13,0.345409,0.348877,0.303853,0.310802,0.310802,2558939154
2022-06-14,0.310821,0.323524,0.295166,0.322143,0.322143,1977069964
2022-06-15,0.322099,0.344831,0.300711,0.343703,0.343703,2242860490
2022-06-16,0.343684,0.345373,0.308417,0.312056,0.312056,1477710114
2022-06-17,0.312145,0.338538,0.311220,0.321381,0.321381,1381554091
2022-06-18,0.321331,0.325714,0.290579,0.308090,0.308090,1403189628
2022-06-19,0.308033,0.330477,0.298947,0.326053,0.326053,1159418572
2022-06-20,0.326020,0.328047,0.314241,0.323346,0.323346,1187888833
2022-06-21,0.323284,0.336063,0.320152,0.328626,0.328626,1247582002
2022-06-22,0.328729,0.329060,0.319598,0.322585,0.322585,1064144662
2022-06-23,0.322591,0.336076,0.322183,0.335531,0.335531,927324605
2022-06-24,0.335509,0.384659,0.335491,0.367587,0.367587,2253100828
2022-06-25,0.367623,0.372282,0.355679,0.367556,0.367556,912142249
2022-06-26,0.367533,0.373732,0.358818,0.358864,0.358864,789514304
2022-06-27,0.358863,0.365992,0.350973,0.353235,0.353235,989571906
2022-06-28,0.353235,0.355267,0.336915,0.337329,0.337329,1038924972
2022-06-29,0.337372,0.341103,0.323425,0.328978,0.328978,1094664825
2022-06-30,0.329002,0.331458,0.307668,0.331448,0.331448,1456445785
2022-07-01,0.331645,0.333078,0.311450,0.313677,0.313677,1249145615
2022-07-02,0.313724,0.317014,0.310522,0.315579,0.315579,608601610
2022-07-03,0.315573,0.325247,0.310214,0.321703,0.321703,728566418
2022-07-04,0.321688,0.329100,0.315573,0.328790,0.328790,1018446189
2022-07-05,0.328703,0.330156,0.314346,0.325423,0.325423,1130550266
2022-07-06,0.325460,0.333025,0.320645,0.332272,0.332272,1099742037
2022-07-07,0.332263,0.343521,0.327338,0.342151,0.342151,1037133139
2022-07-08,0.342167,0.356509,0.337063,0.341628,0.341628,1469173608
2022-07-09,0.341599,0.347047,0.340299,0.344952,0.344952,602546961
2022-07-10,0.344930,0.344930,0.322131,0.325663,0.325663,913229467
2022-07-11,0.325659,0.328563,0.312306,0.314297,0.314297,1042057085
2022-07-12,0.314296,0.317601,0.309084,0.311659,0.311659,968873598
2022-07-13,0.311659,0.325076,0.304330,0.323730,0.323730,1295979555
2022-07-14,0.323750,0.333221,0.313361,0.333221,0.333221,3386821229
2022-07-15,0.333214,0.346210,0.328232,0.334535,0.334535,1512184333
2022-07-16,0.334493,0.355300,0.332196,0.350861,0.350861,1292123515
2022-07-17,0.350852,0.359919,0.343387,0.343412,0.343412,1093079294
2022-07-18,0.343424,0.368834,0.343424,0.366177,0.366177,1627385386
2022-07-19,0.366025,0.375989,0.352916,0.373225,0.373225,1604201237
2022-07-20,0.373257,0.381060,0.358736,0.360484,0.360484,1534818247
2022-07-21,0.360662,0.367956,0.349726,0.367036,0.367036,1202692151
2022-07-22,0.367033,0.370838,0.355486,0.358604,0.358604,1150022760
2022-07-23,0.358522,0.362619,0.350848,0.359541,0.359541,863843426
2022-07-24,0.359533,0.366562,0.357087,0.359260,0.359260,912894827
2022-07-25,0.359227,0.360184,0.337313,0.337315,0.337315,1207904872
2022-07-26,0.337305,0.337816,0.326426,0.337816,0.337816,1110467650
2022-07-27,0.337826,0.359130,0.331168,0.359118,0.359118,1314040220
